country,country_code_3_digit,country_code_2_digit,population,confirmed cases_counts,deaths_counts,source,reported_date
Russia,RUS,RU,145934460,8849,127,"Epidemic intelligence, national daily data",2020-05-22
Germany,DEU,DE,83019213,2089,11,"Epidemic intelligence, national daily data",2020-09-29
Greece,GRC,EL,10724599,56,4,"Epidemic intelligence, national daily data",2020-04-11
Croatia,HRV,HR,4076246,91,1,"Epidemic intelligence, national daily data",2020-03-28
Malta,MLT,MT,493559,6,0,"Epidemic intelligence, national daily data",2020-04-14
Andorra,AND,AD,76177,0,0,"Epidemic intelligence, national daily data",2020-02-05
Bosnia and Herzegovina,BIH,BA,3280815,58,0,"Epidemic intelligence, national daily data",2020-06-19
Belarus,BLR,BY,9449321,0,0,"Epidemic intelligence, national daily data",2020-02-25
Iceland,ISL,IS,356991,0,0,"Epidemic intelligence, national daily data",2020-05-20
Latvia,LVA,LV,1919968,12,1,"Epidemic intelligence, national daily data",2020-05-02
Poland,POL,PL,37972812,371,15,"Epidemic intelligence, national daily data",2020-07-03
Belgium,BEL,BE,11455519,634,3,"Epidemic intelligence, national daily data",2020-09-01
Czechia,CZE,CZ,10649800,0,0,"Epidemic intelligence, national daily data",2020-02-04
Malta,MLT,MT,493559,68,2,"Epidemic intelligence, national daily data",2020-10-13
Denmark,DNK,DK,5806081,435,0,"Epidemic intelligence, national daily data",2020-09-29
Latvia,LVA,LV,1919968,6,1,"Epidemic intelligence, national daily data",2020-04-08
Austria,AUT,AT,8858775,143,0,"Epidemic intelligence, national daily data",2020-03-14
Malta,MLT,MT,493559,13,0,"Epidemic intelligence, national daily data",2020-04-17
Luxembourg,LUX,LU,613894,109,0,"Epidemic intelligence, national daily data",2020-10-14
Portugal,PRT,PT,10276617,0,0,"Epidemic intelligence, national daily data",2020-01-29
Albania,ALB,AL,2862427,23,0,"Epidemic intelligence, national daily data",2020-05-31
Andorra,AND,AD,76177,0,0,"Epidemic intelligence, national daily data",2020-05-28
Azerbaijan,AZE,AZ,10139175,43,0,"Epidemic intelligence, national daily data",2020-04-04
Montenegro,MNE,ME,622182,296,8,"Epidemic intelligence, national daily data",2020-09-23
Serbia,SRB,RS,6963764,83,1,"Epidemic intelligence, national daily data",2020-09-25
Armenia,ARM,AM,2963234,39,0,"Epidemic intelligence, national daily data",2020-04-01
North Macedonia,MKD,MK,2077132,30,3,"Epidemic intelligence, national daily data",2020-05-18
Slovakia,SVK,SK,5450421,41,0,"Epidemic intelligence, national daily data",2020-03-22
Lithuania,LTU,LT,2794184,58,3,"Epidemic intelligence, national daily data",2020-04-17
Austria,AUT,AT,8858775,661,6,"Epidemic intelligence, national daily data",2020-09-24
Liechtenstein,LIE,LI,38378,0,0,"Epidemic intelligence, national daily data",2020-07-23
Malta,MLT,MT,493559,0,0,"Epidemic intelligence, national daily data",2020-02-10
Norway,NOR,NO,5328212,29,4,"Epidemic intelligence, national daily data",2020-05-13
San Marino,SMR,SM,34453,0,0,"Epidemic intelligence, national daily data",2020-09-17
Italy,ITA,IT,60359546,518,85,"Epidemic intelligence, national daily data",2020-06-06
Greece,GRC,EL,10724599,42,3,"Epidemic intelligence, national daily data",2020-04-30
Portugal,PRT,PT,10276617,350,14,"Epidemic intelligence, national daily data",2020-05-30
Switzerland,CHE,CH,8544527,103,16,"Epidemic intelligence, national daily data",2020-04-28
Slovenia,SVN,SI,2080908,203,0,"Epidemic intelligence, national daily data",2020-10-01
Norway,NOR,NO,5328212,10,1,"Epidemic intelligence, national daily data",2020-07-01
Portugal,PRT,PT,10276617,371,35,"Epidemic intelligence, national daily data",2020-04-24
the Holy See/ Vatican City State,VAT,VA,809,0,0,"Epidemic intelligence, national daily data",2020-03-15
Liechtenstein,LIE,LI,38378,0,0,"Epidemic intelligence, national daily data",2020-10-11
Lithuania,LTU,LT,2794184,0,0,"Epidemic intelligence, national daily data",2020-01-30
Slovenia,SVN,SI,2080908,0,0,"Epidemic intelligence, national daily data",2020-05-31
San Marino,SMR,SM,34453,0,0,"Epidemic intelligence, national daily data",2020-01-21
Italy,ITA,IT,60359546,97,4,"Epidemic intelligence, national daily data",2020-02-25
Norway,NOR,NO,5328212,270,10,"Epidemic intelligence, national daily data",2020-04-03
Bosnia and Herzegovina,BIH,BA,3280815,453,5,"Epidemic intelligence, national daily data",2020-10-09
Croatia,HRV,HR,4076246,140,1,"Epidemic intelligence, national daily data",2020-07-12
Spain,ESP,ES,46937060,564,3,"Epidemic intelligence, national daily data",2020-06-27
France,FRA,FR,67012883,1404,69,"Epidemic intelligence, national daily data",2020-03-19
Malta,MLT,MT,493559,38,0,"Epidemic intelligence, national daily data",2020-09-19
Belarus,BLR,BY,9449321,0,0,"Epidemic intelligence, national daily data",2020-01-28
Netherlands,NLD,NL,17282163,887,123,"Epidemic intelligence, national daily data",2020-04-24
Slovakia,SVK,SK,5450421,0,0,"Epidemic intelligence, national daily data",2020-02-10
the Holy See/ Vatican City State,VAT,VA,809,0,0,"Epidemic intelligence, national daily data",2020-05-13
Belgium,BEL,BE,11455519,2402,25,"Epidemic intelligence, national daily data",2020-10-12
Germany,DEU,DE,83019213,815,10,"Epidemic intelligence, national daily data",2020-07-24
Kosovo,,,1798506,53,1,"Epidemic intelligence, national daily data",2020-06-14
Jersey,JEY,JE,107796,0,0,"Epidemic intelligence, national daily data",2020-01-09
Romania,ROU,RO,19414458,889,21,"Epidemic intelligence, national daily data",2020-07-19
Belarus,BLR,BY,9449321,0,0,"Epidemic intelligence, national daily data",2020-03-10
Armenia,ARM,AM,2963234,354,10,"Epidemic intelligence, national daily data",2020-07-31
Switzerland,CHE,CH,8544527,76,4,"Epidemic intelligence, national daily data",2020-05-05
Netherlands,NLD,NL,17282163,44,0,"Epidemic intelligence, national daily data",2020-03-06
Estonia,EST,EE,1324820,0,0,"Epidemic intelligence, national daily data",2020-02-02
Isle of Man,,,85032,0,0,"Epidemic intelligence, national daily data",2020-05-25
Moldova,MDA,MD,4033963,69,1,"Epidemic intelligence, national daily data",2020-05-04
Monaco,MCO,MC,33085,0,0,"Epidemic intelligence, national daily data",2020-02-09
Malta,MLT,MT,493559,0,0,"Epidemic intelligence, national daily data",2020-02-25
Estonia,EST,EE,1324820,8,0,"Epidemic intelligence, national daily data",2020-07-10
Ireland,IRL,IE,4904240,57,2,"Epidemic intelligence, national daily data",2020-05-25
Moldova,MDA,MD,4033963,624,7,"Epidemic intelligence, national daily data",2020-08-27
